branch_file,kind,top_left_x,top_left_y,center_x,center_y,width,height,right,bottom,score
s_2hAxe_branch_0.png,gate,79,86,81.0,89.0,5,7,83,92,23
s_2hAxe_branch_0.png,gate,79,161,81.0,164.0,5,7,83,167,23
s_2hMace_branch_0.png,gate,79,86,81.0,89.0,5,7,83,92,23
s_arcanistics_branch_0.png,gate,136,80,138.0,83.0,5,7,140,86,23
s_arcanistics_branch_0.png,gate,79,136,81.0,139.0,5,7,83,142,23
s_arcanistics_branch_0.png,gate,60,192,62.0,195.0,5,7,64,198,23
s_armor_branch_0.png,gate,129,86,131.0,89.0,5,7,133,92,23
s_athletics_branch_0.png,gate,79,188,81.0,191.0,5,7,83,194,23
s_axes_branch_0.png,gate,79,86,81.0,89.0,5,7,83,92,23
s_combatprowess_branch_0.png,gate,41,136,43.0,139.0,5,7,45,142,23
s_combatprowess_branch_0.png,gate,79,136,81.0,139.0,5,7,83,142,23
s_combatprowess_branch_0.png,gate,117,136,119.0,139.0,5,7,121,142,23
s_daggers_branch_0.png,gate,41,86,43.0,89.0,5,7,45,92,23
s_daggers_branch_0.png,gate,79,86,81.0,89.0,5,7,83,92,23
s_daggers_branch_0.png,gate,117,86,119.0,89.0,5,7,121,92,23
s_daggers_branch_0.png,gate,117,161,119.0,164.0,5,7,121,167,23
s_dualwielding_branch_0.png,gate,60,86,62.0,89.0,5,7,64,92,23
s_dualwielding_branch_0.png,gate,117,86,119.0,89.0,5,7,121,92,23
s_dualwielding_branch_0.png,gate,88,161,90.0,164.0,5,7,92,167,23
s_electro_branch_0.png,gate,22,136,24.0,139.0,5,7,26,142,23
s_electro_branch_0.png,gate,136,136,138.0,139.0,5,7,140,142,23
s_electro_branch_0.png,gate,79,188,81.0,191.0,5,7,83,194,23
s_geo_branch_0.png,gate,41,132,43.0,135.0,5,7,45,138,23
s_greatswords_branch_0.png,gate,79,161,81.0,164.0,5,7,83,167,23
s_maces_branch_0.png,gate,41,86,43.0,89.0,5,7,45,92,23
s_maces_branch_0.png,gate,117,86,119.0,89.0,5,7,121,92,23
s_magicmastery_branch_0.png,gate,41,76,43.0,79.0,5,7,45,82,23
s_magicmastery_branch_0.png,gate,79,188,81.0,191.0,5,7,83,194,23
s_polearms_branch_0.png,gate,79,86,81.0,89.0,5,7,83,92,23
s_polearms_branch_0.png,gate,79,161,81.0,164.0,5,7,83,167,23
s_pyro_branch_0.png,gate,117,76,119.0,79.0,5,7,121,82,23
s_pyro_branch_0.png,gate,41,136,43.0,139.0,5,7,45,142,23
s_pyro_branch_0.png,gate,79,136,81.0,139.0,5,7,83,142,23
s_pyro_branch_0.png,gate,117,136,119.0,139.0,5,7,121,142,23
s_pyro_branch_0.png,gate,79,192,81.0,195.0,5,7,83,198,23
s_ranged_branch_0.png,gate,41,136,43.0,139.0,5,7,45,142,23
s_ranged_branch_0.png,gate,79,136,81.0,139.0,5,7,83,142,23
s_ranged_branch_0.png,gate,117,136,119.0,139.0,5,7,121,142,23
s_shields_branch_0.png,gate,41,86,43.0,89.0,5,7,45,92,23
